Unnamed: 0,model,A,B,Nx,dx,Nt,dt,Du,Dv,initial_condition,random_seed,n_snapshots,filename,run_id,original_point,final_deviation,mean_deviation,std_deviation,max_derivative,mean_derivative,dominant_power,total_power,max_u,max_v,category,op
42,bruss,1.8179788519710385,8.064825171435272,128,1.0,60000,0.0025,2.935526688580343,12.538152687052166,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",8236,100,/cluster/scratch/vogtva/data/bruss/ball_big/aed8ceec-d182-4dbc-902a-13ebd57e9781_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",8.575517809264053,6.180677514792899,3.24216707998655,2896.9878,801.2628,1.3562161,18.930407,11.777465,12.814434,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
440,bruss,1.8140795879476357,7.8734730714422,128,1.0,60000,0.0025,2.829251740391214,12.227565331275686,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",281662,100,/cluster/scratch/vogtva/data/bruss/ball_big/5c17b29d-2269-44a5-939c-c750aa684c3a_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",7.752968518860947,6.29089705066568,3.148314836041094,2863.9624,910.07715,1.2080071,19.504658,12.0682335,12.333467,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
767,bruss,1.8932633595109871,8.175696053279788,128,1.0,60000,0.0025,3.084840569445798,12.638720690141524,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",259318,100,/cluster/scratch/vogtva/data/bruss/ball_big/59865bd0-cdf1-4312-84aa-5ab539a0b95e_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",9.19654262204142,6.102217748878976,3.0648413327766373,2337.147,940.26514,1.3578395,9.838075,7.440539,12.168769,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
848,bruss,2.046314113922003,8.12596034759825,128,1.0,60000,0.0025,3.063902634873254,11.314031231051352,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",58882,100,/cluster/scratch/vogtva/data/bruss/ball_big/a2521f82-bc43-466f-8f6d-b47a56b47a7c_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",4.121747757951184,5.380696886593068,2.3910045794334343,2495.3643,834.1916,1.0717878,16.721676,9.998012,11.69548,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
1035,bruss,1.9638683151913143,8.693356005868655,128,1.0,60000,0.0025,3.1304933976539133,11.201653071665325,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",982591,100,/cluster/scratch/vogtva/data/bruss/ball_big/df81de82-22f9-41fc-9125-04cd4c4390c4_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",2.5219500624075444,2.521883263221154,4.131222633021757e-05,446.8461,1.754504,0.0062840604,0.46483907,6.546235,5.1324506,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
1089,bruss,1.904860373472392,7.653105792184519,128,1.0,60000,0.0025,3.157130162928293,12.415668570711704,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",72759,100,/cluster/scratch/vogtva/data/bruss/ball_big/0fe0def7-e96e-44aa-8102-f03e4e562147_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",2.316729440181213,2.316547025240385,0.00011934063432,397.07776,2.01582,0.0044354475,0.37713552,6.3796587,4.6165676,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
1211,bruss,1.880996503538553,8.675285233968136,128,1.0,60000,0.0025,3.1629561874704626,11.07986805966636,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",776287,100,/cluster/scratch/vogtva/data/bruss/ball_big/543e3ff8-66c5-46af-8316-058119531be7_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",4.319928000184911,6.8354772978111145,2.750828965113508,3236.3032,776.90643,1.3290895,19.57112,13.347936,14.024964,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
1399,bruss,1.8255973753390964,8.782509065484172,128,1.0,60000,0.0025,3.116723505914767,12.952859182271595,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",53304,100,/cluster/scratch/vogtva/data/bruss/ball_big/47538e10-4e93-47ae-af32-7bb7e6e51ea5_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",14.82853550295858,7.791079774754993,3.1955718349646114,3356.2856,805.96643,1.3144107,20.575457,13.461861,14.696794,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
1429,bruss,1.9637752050483488,8.716410339184572,128,1.0,60000,0.0025,2.845054602917409,11.524258677652323,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",838658,100,/cluster/scratch/vogtva/data/bruss/ball_big/75d67c2d-f9fe-4737-9193-620156d8ed20_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",2.8403353827662725,6.827256090514053,2.5546250483631967,3089.6177,843.8229,1.1082069,20.817059,12.670023,13.602021,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
1481,bruss,1.9999336918108703,7.238568108365503,128,1.0,60000,0.0025,3.105555816891041,11.519442989225688,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",146541,100,/cluster/scratch/vogtva/data/bruss/ball_big/9ee0029c-c5c7-4ebd-a7ad-f73757995989_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",2.0458655579696745,2.046064123751849,0.0001208347023196,355.40338,2.4678347,0.0022466325,0.14351039,5.8022733,4.5584106,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
1561,bruss,1.9999336918108703,7.238568108365503,128,1.0,60000,0.0025,3.105555816891041,11.519442989225688,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",646590,100,/cluster/scratch/vogtva/data/bruss/ball_big/04ac1871-7dbb-435f-9eac-6e1832dac745_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",5.134902748243343,5.276435049926035,2.13245698543006,2203.8628,936.1795,2.2081728,8.534708,9.607209,8.722764,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
1623,bruss,2.08097326917086,8.20431712533603,128,1.0,60000,0.0025,3.294135135429761,11.621495512689307,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",746095,100,/cluster/scratch/vogtva/data/bruss/ball_big/b70c4601-9099-40c0-8fbe-fd809253a846_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",2.258045545950444,2.258581037352071,0.0002704445280474,322.59027,3.9093177,0.0023185534,0.18743563,6.2157063,4.7168055,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
1810,bruss,1.8179788519710385,8.064825171435272,128,1.0,60000,0.0025,2.935526688580343,12.538152687052166,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",656774,100,/cluster/scratch/vogtva/data/bruss/ball_big/5b5d30ca-0d35-4ee7-8de0-e98d66312575_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",2.7561150147929,2.75601792483358,5.150290700325249e-05,396.7868,1.7506416,0.0044312067,0.3701814,7.017045,5.0131187,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
1959,bruss,1.9638683151913143,8.693356005868655,128,1.0,60000,0.0025,3.1304933976539133,11.201653071665325,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",441436,100,/cluster/scratch/vogtva/data/bruss/ball_big/98625238-131d-4d07-8201-d94c397f9870_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",4.010594258505917,7.308035063794378,3.8348072090866223,3137.5361,1176.4087,1.1231034,21.767727,13.320133,13.538582,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
2449,bruss,1.9659812409016229,8.166682318848322,128,1.0,60000,0.0025,3.238072339878603,11.298595908952338,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",597436,100,/cluster/scratch/vogtva/data/bruss/ball_big/741bdbe8-00da-4933-a158-d4c18ee43190_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",8.655580621301775,6.530396513267382,2.893657143989401,2769.508,1125.754,1.3816031,19.069265,11.605479,12.221517,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
2596,bruss,1.9987027792721863,7.380217732158668,128,1.0,60000,0.0025,2.831332197663593,11.052101581877572,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",550722,100,/cluster/scratch/vogtva/data/bruss/ball_big/42ed7137-5306-4ecd-b8f7-660ee3d399ce_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",0.8283958877473188,4.969516379452316,3.0138138220905315,2266.3564,1074.1471,0.9837324,15.878078,9.717381,10.232168,SS,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
2720,bruss,1.8179788519710385,8.064825171435272,128,1.0,60000,0.0025,2.935526688580343,12.538152687052166,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",461689,100,/cluster/scratch/vogtva/data/bruss/ball_big/526c93c1-84cf-4823-8cfe-1254c46bb03f_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",3.482691960983728,6.923317592282267,3.685251228161178,2972.4517,1056.8773,1.4298244,20.26021,12.53121,12.81124,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
2752,bruss,1.8932633595109871,8.175696053279788,128,1.0,60000,0.0025,3.084840569445798,12.638720690141524,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",918365,100,/cluster/scratch/vogtva/data/bruss/ball_big/f02816b4-3cd3-47e4-b0b5-b6e6962b4d90_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",9.212132373335798,6.092834900263499,3.054138572393242,2326.8188,936.2376,1.3404288,9.691181,7.357172,12.178518,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
2792,bruss,1.9247848364448727,7.837411453804952,128,1.0,60000,0.0025,2.984406084387188,12.11129971846744,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",701438,100,/cluster/scratch/vogtva/data/bruss/ball_big/9bc77d45-50c7-4fc0-a6fa-97dcaf4b80a9_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",4.683883367233728,5.479636268028846,2.3491370890038583,2518.0955,760.97723,1.0667958,16.199556,10.100161,11.610644,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
2845,bruss,1.9999336918108703,7.238568108365503,128,1.0,60000,0.0025,3.105555816891041,11.519442989225688,"{'type': 'normal', 'sigma_u': 0.25, 'sigma_v': 0.25}",54273,100,/cluster/scratch/vogtva/data/bruss/ball_big/0c57406a-329d-4e93-9943-010e038f7b58_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",8.533940689718936,5.654103274373613,2.8188859096654726,2002.1462,1032.3927,1.7359972,6.0847178,7.836698,9.166271,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
3029,bruss,1.8932633595109871,8.175696053279788,128,1.0,60000,0.0025,3.084840569445798,12.638720690141524,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",214739,100,/cluster/scratch/vogtva/data/bruss/ball_big/f9e6f0b1-1d52-4e1f-af02-ccd410df63cb_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",2.625348904400888,2.62515694341716,0.0001191995661253,423.34082,1.5286776,0.0053210915,0.4624821,6.8253775,4.7813773,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
3157,bruss,1.904860373472392,7.653105792184519,128,1.0,60000,0.0025,3.157130162928293,12.415668570711704,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",731675,100,/cluster/scratch/vogtva/data/bruss/ball_big/edbbf852-52a0-4711-b40e-afbdbcfe726a_output.nc,ball_big,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}",7.612190158099112,5.894094296066013,2.578984677081168,2555.5776,852.03467,1.2762512,15.615986,10.768897,11.304386,I,"{'A': 2.0, 'B': 8.0, 'Du': 3, 'Dv': 12}"
