Unnamed: 0,model,A,B,Nx,dx,Nt,dt,Du,Dv,initial_condition,random_seed,n_snapshots,filename,run_id,original_point,final_deviation,mean_deviation,std_deviation,max_derivative,mean_derivative,dominant_power,total_power,max_u,max_v,category,op
24,bruss,0.5335829603764242,1.0847441042486252,128,1.0,60000,0.0025,1.0840406627140518,10.747481991403514,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",490433,100,/cluster/scratch/vogtva/data/bruss/ball_big/7535d957-6676-4f04-ae47-709f41279e3d_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",0.0001123751550031,0.0001123751550031,2.710505431213761e-20,131.68195,0.0,0.008611516,0.2749679,2.609575,2.6582558,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
112,bruss,0.4590059661948171,1.0825506374535796,128,1.0,60000,0.0025,1.0924321050023529,11.920776570694857,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",35904,100,/cluster/scratch/vogtva/data/bruss/ball_big/dd231d2a-4571-41ef-af1d-03522a7c3d8d_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",5.382299423217773e-05,5.382299423217773e-05,0.0,14.329692,0.0,0.004656793,0.106846154,0.51186043,2.4884732,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
124,bruss,0.4842748925853022,0.9340221476128776,128,1.0,60000,0.0025,1.042838708097591,11.4238701121892,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",29083,100,/cluster/scratch/vogtva/data/bruss/ball_big/1e105dbc-8602-494b-a504-08102cf17a07_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",4.648831116377249e-05,4.648831116377249e-05,0.0,125.0786,0.0,0.0066161836,0.2551175,2.4948246,2.5715556,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
207,bruss,0.5375693235420558,0.9694723167773548,128,1.0,60000,0.0025,0.9627653134070108,10.94451614824661,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",632352,100,/cluster/scratch/vogtva/data/bruss/ball_big/81788f1e-ea53-45e8-9013-abf15cc77608_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",4.293780707748684e-05,4.293780707748683e-05,6.776263578034403e-21,49.027523,0.0,0.0049577947,0.18622105,0.7955949,2.0534253,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
414,bruss,0.5096786809930791,1.0975477824506934,128,1.0,60000,0.0025,0.913550852358222,11.695653795073351,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",6233,100,/cluster/scratch/vogtva/data/bruss/ball_big/9bd44b29-feaa-4ea7-8f76-fc0cf6f2fd3e_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",6.604194641113281e-05,6.604194641113281e-05,0.0,32.900406,0.0,0.007831123,0.2151412,0.62845427,2.3864677,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
443,bruss,0.4844354912238863,0.9613560451121336,128,1.0,60000,0.0025,1.008162802638063,10.81299623740371,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",396452,100,/cluster/scratch/vogtva/data/bruss/ball_big/4a7a21c7-6198-4b36-afb1-d3779a56c0bc_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",4.148483276367188e-05,4.148483276367188e-05,0.0,10.904804,0.0,0.002038096,0.075590864,0.5199429,2.099229,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
526,bruss,0.5461822026763904,1.0000545545095874,128,1.0,60000,0.0025,0.9496217910677704,11.19533602495117,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",191114,100,/cluster/scratch/vogtva/data/bruss/ball_big/f27e3d0b-bcde-4024-b59f-f8898eed4257_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",3.2961368560791016e-05,3.2961368560791016e-05,0.0,13.601403,0.0,0.0023993964,0.09494081,0.5906063,1.9557438,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
862,bruss,0.4897846210987355,0.9596929221571876,128,1.0,60000,0.0025,1.0949701417733189,11.53704952087161,"{'type': 'hex_pattern', 'amplitude': 0.25, 'wavelength': 0.1}",869497,100,/cluster/scratch/vogtva/data/bruss/ball_big/e6150bf9-1a99-4c65-80ac-6f4f0ca6f89e_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",3.092763868309337e-05,3.092763868309337e-05,0.0,53.793983,0.0,0.0013088915,0.044308387,0.92448705,2.6237822,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
1300,bruss,0.4868697673046913,0.9735588183882278,128,1.0,60000,0.0025,1.0475583518397855,10.585812652354768,"{'type': 'uniform', 'u_min': 0.0, 'u_max': 0.25, 'v_min': 0.0, 'v_max': 0.25}",746360,100,/cluster/scratch/vogtva/data/bruss/ball_big/28eef93d-256e-4024-8562-35bccf0b47d4_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",3.836213307973196e-05,3.836213307973197e-05,6.776263578034403e-21,52.313095,0.0,0.0058527235,0.19843882,0.76416534,2.249614,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
1389,bruss,0.4503871869238587,1.023777914058361,128,1.0,60000,0.0025,1.0016705521472753,10.74928606347081,"{'type': 'normal', 'sigma_u': 0.1, 'sigma_v': 0.1}",44303,100,/cluster/scratch/vogtva/data/bruss/ball_big/e978f37d-281b-4acb-b779-9bce9e430da7_output.nc,ball_big,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}",6.648898124694824e-05,6.648898124694824e-05,0.0,8.395287,0.0,0.0015839728,0.044277344,0.4815279,2.3639688,SS,"{'A': 0.5, 'B': 1.0, 'Du': 1, 'Dv': 11}"
